model,station,method,metric,raw,corrected,delta_corrected_minus_raw,ci_low,ci_high,p_two_sided,n_bootstrap,p_fdr,point_improved,ci_improved,ci_worsened,fdr_significant
ACCESS-ESM1-5,500009,QDM_NP_monthly,mRMSE,96.2460755960928,75.55359324295979,-20.692482353133002,-35.316142884536745,-5.189311883282897,0.004997501249375313,2000,0.01665833749791771,True,True,False,True
ACCESS-ESM1-5,500009,QDM_NP_monthly,mKGE,0.3191334305031579,0.4775061796448775,0.15837274914171962,0.020214420449224307,0.3037779075614571,0.017991004497751123,2000,0.059970014992503734,True,True,False,False
ACCESS-ESM1-5,500009,QDM_P_annual,mRMSE,96.2460755960928,76.51195186250004,-19.734123733592753,-33.16759516086967,-7.103329926100676,0.0009995002498750624,2000,0.0015376926921154808,True,True,False,True
ACCESS-ESM1-5,500009,QDM_P_annual,mKGE,0.3191334305031579,0.4970146991358373,0.1778812686326794,0.06809084138788997,0.35754135343606425,0.0009995002498750624,2000,0.0028557149996430355,True,True,False,True
ACCESS-ESM1-5,500009,QDM_P_monthly,mRMSE,96.2460755960928,77.36451766221478,-18.881557933878014,-34.93615521541875,-2.891482562975855,0.020989505247376312,2000,0.048437319801637645,True,True,False,True
ACCESS-ESM1-5,500009,QDM_P_monthly,mKGE,0.3191334305031579,0.4529373427755812,0.13380391227242328,-0.010949038917453593,0.29621453297375167,0.07596201899050475,2000,0.1823088455772114,True,False,False,False
ACCESS-ESM1-5,500201,QDM_NP_annual,mRMSE,165.88802375889273,206.0635123563676,40.17548859747487,-7.808842029089092,89.93724988040974,0.21689155422288856,2000,0.23238380809595202,False,False,False,False
ACCESS-ESM1-5,500201,QDM_NP_annual,mKGE,-0.04897058389040554,-0.3223723567560608,-0.27340177286565526,-0.8847578721645156,0.10875909707358733,0.25787106446776614,2000,0.3291971035758717,False,False,False,False
ACCESS-ESM1-5,500201,QDM_NP_monthly,mRMSE,165.88802375889273,189.2838417929036,23.39581803401086,-38.57924211620937,80.50969801050783,0.5307346326836582,2000,0.7037297677691765,False,False,False,False
ACCESS-ESM1-5,500201,QDM_NP_monthly,mKGE,-0.04897058389040554,-0.19317129214392015,-0.1442007082535146,-0.6720385157977143,0.37464269794614596,0.6376811594202898,2000,0.7971014492753623,False,False,False,False
ACCESS-ESM1-5,500201,QDM_P_annual,mRMSE,165.88802375889273,134.27730192636804,-31.61072183252469,-41.48721952083793,-21.68514602965613,0.0009995002498750624,2000,0.0015376926921154808,True,True,False,True
ACCESS-ESM1-5,500201,QDM_P_annual,mKGE,-0.04897058389040554,0.16650286393627556,0.2154734478266811,0.00484998744389704,0.47960169215286114,0.04597701149425287,2000,0.07881773399014778,True,True,False,False
ACCESS-ESM1-5,500201,QDM_P_monthly,mRMSE,165.88802375889273,161.1950280816319,-4.692995677260825,-45.556752008670074,35.160809758831256,0.7786106946526736,2000,0.8493934850756439,True,False,False,False
ACCESS-ESM1-5,500201,QDM_P_monthly,mKGE,-0.04897058389040554,0.05001768379033933,0.09898826768074487,-0.23945660795825835,0.4345157702481175,0.5557221389305347,2000,0.6996501749125438,True,False,False,False
ACCESS-ESM1-5,500202,QDM_NP_annual,mRMSE,125.00532058593213,191.2056266372827,66.20030605135058,30.294811544266214,101.95961350959556,0.0009995002498750624,2000,0.001275957765797952,False,False,True,True
ACCESS-ESM1-5,500202,QDM_NP_annual,mKGE,0.15793460962384076,-0.2777835280760248,-0.43571813769986556,-1.183891044218296,0.01793640192795582,0.06996501749125437,2000,0.11047108024934903,False,False,False,False
