variant,model,station,metric,delta,ci_low,ci_high,p_value,improvement_direction,q_value,fdr_reject
sens_monthly,EC-Earth3,500002,mPBIAS_abs,10.298503528219744,-7.215478861374095,23.150802352964778,0.274,lower,0.47423,False
sens_monthly,EC-Earth3,500002,mNSE,0.03322116877873614,-0.33943095204189383,0.3184118888309896,0.786,higher,0.8131,False
sens_monthly,EC-Earth3,500003,mRMSE,14.977146833213355,1.1075666909846895,29.06079517291971,0.028,lower,0.07522,False
sens_monthly,EC-Earth3,500003,mPBIAS_abs,-20.918528100130672,-32.26582218588701,-1.5308588573727573,0.036,lower,0.09529,False
sens_monthly,EC-Earth3,500003,mNSE,-0.3584424577036428,-0.7497493744361926,-0.024743470349115587,0.028,higher,0.07522,False
sens_monthly,EC-Earth3,500004,mRMSE,6.852137526944501,-8.417637201318218,20.860894555191035,0.348,lower,0.54,False
sens_monthly,EC-Earth3,500004,mPBIAS_abs,3.2050980699284106,-6.671941910590345,9.726948860414515,0.513,lower,0.6817,False
sens_monthly,EC-Earth3,500004,mNSE,-0.18915769959970097,-0.5998100439856744,0.1912091433435118,0.348,higher,0.54,False
sens_monthly,EC-Earth3,500005,mRMSE,-9.229972525616631,-22.217563440073643,4.128797557105335,0.175,lower,0.32474,False
sens_monthly,EC-Earth3,500005,mPBIAS_abs,2.2881955517854937,-6.029913820906042,7.480897470759013,0.571,lower,0.68748,False
sens_monthly,EC-Earth3,500005,mNSE,0.19610699268373202,-0.0889833274619745,0.45353228099182297,0.175,higher,0.32474,False
sens_monthly,EC-Earth3,500006,mRMSE,-10.824920424831303,-23.177783690692664,1.0580708458508994,0.083,lower,0.18424,False
sens_monthly,EC-Earth3,500006,mPBIAS_abs,-3.21511019700188,-7.049213284019257,5.848759712700062,0.395,lower,0.59748,False
sens_monthly,EC-Earth3,500006,mNSE,0.24904114608759115,-0.023544753062416605,0.5377617425532136,0.083,higher,0.18424,False
sens_monthly,EC-Earth3,500007,mRMSE,-10.296506368639555,-18.89810980895496,-1.8069311452097483,0.012,lower,0.03484,True
sens_monthly,EC-Earth3,500007,mPBIAS_abs,1.4492478353893898,-3.2422869294221446,6.027637965585272,0.691,lower,0.75341,False
sens_monthly,EC-Earth3,500007,mNSE,0.26858367775567893,0.04562855608505204,0.522553456653325,0.012,higher,0.03484,True
sens_monthly,EC-Earth3,500008,mRMSE,-23.816975699594384,-30.06477539848245,-18.13964117596235,0.0,lower,0.0,True
sens_monthly,EC-Earth3,500008,mPBIAS_abs,-34.6936672096736,-37.811404999828696,-25.09027229465583,0.0,lower,0.0,True
sens_monthly,EC-Earth3,500008,mNSE,0.5248326364025565,0.3947951056191729,0.6619876999483377,0.0,higher,0.0,True
sens_monthly,EC-Earth3,500009,mRMSE,-21.89612613160393,-27.79676258712978,-16.64703619137592,0.0,lower,0.0,True
sens_monthly,EC-Earth3,500009,mPBIAS_abs,-32.68216743635936,-34.917712657967336,-27.569616789599873,0.0,lower,0.0,True
sens_monthly,EC-Earth3,500009,mNSE,0.49618060544096193,0.36427990615125433,0.6339932937808868,0.0,higher,0.0,True
sens_monthly,EC-Earth3,500201,mRMSE,3.6470395660722903,-13.301338042738891,20.536401584840828,0.649,lower,0.73012,False
sens_monthly,EC-Earth3,500201,mPBIAS_abs,2.166746281213257,-4.46156460738,8.803437334223943,0.532,lower,0.6817,False
sens_monthly,EC-Earth3,500201,mNSE,-0.09712613900933872,-0.5480904328040352,0.2781768777361251,0.649,higher,0.73012,False
sens_monthly,EC-Earth3,500202,mRMSE,6.37239904614198,-12.414279729715021,24.740151282892608,0.501,lower,0.6817,False
sens_monthly,EC-Earth3,500202,mPBIAS_abs,-12.756871529982856,-22.29086050083014,7.227291969179985,0.099,lower,0.2025,False
sens_monthly,EC-Earth3,500202,mNSE,-0.16156117787387395,-0.7023140380902185,0.22259347019182396,0.501,higher,0.6817,False
sens_monthly,EC-Earth3,500301,mRMSE,-1.8082878815350478,-13.21155851134057,9.470474657706339,0.761,lower,0.80105,False
sens_monthly,EC-Earth3,500301,mPBIAS_abs,-22.488440198251084,-29.71677314826099,-9.548402313949207,0.006,lower,0.0225,True
sens_monthly,EC-Earth3,500301,mNSE,0.029965045610956344,-0.21416919618532618,0.24674159294578832,0.761,higher,0.80105,False
sens_monthly,MIROC6,500001,mRMSE,-18.300971979750244,-28.66344238717109,-6.680626552073223,0.005,lower,0.01957,True
sens_monthly,MIROC6,500001,mPBIAS_abs,-22.0671334073407,-50.80777308082529,19.241720482868768,0.291,lower,0.48953,False
sens_monthly,MIROC6,500001,mNSE,0.5187984722504003,0.17427892376208978,0.8987215960046663,0.005,higher,0.01957,True
sens_monthly,MIROC6,500002,mRMSE,-6.028599966215345,-24.86124006170235,18.660285821674663,0.592,lower,0.68748,False
sens_monthly,MIROC6,500002,mPBIAS_abs,-20.289609670048158,-36.575977381786295,-4.711246614469475,0.01,lower,0.03333,True
sens_monthly,MIROC6,500002,mNSE,0.14672986036391605,-0.44256564388559516,0.6047525639160638,0.592,higher,0.68748,False
sens_monthly,MIROC6,500003,mRMSE,-2.657374262786993,-12.488829776224206,6.210958652594301,0.585,lower,0.68748,False
sens_monthly,MIROC6,500003,mPBIAS_abs,-21.095538283027764,-30.231586355612265,-0.7919287752575521,0.048,lower,0.12343,False
sens_monthly,MIROC6,500003,mNSE,0.07509283958728678,-0.21181852716017016,0.3580475657201731,0.585,higher,0.68748,False
sens_monthly,MIROC6,500004,mRMSE,-4.112764088965785,-13.878194629490379,6.567929102048275,0.418,lower,0.62182,False
sens_monthly,MIROC6,500004,mPBIAS_abs,-7.920022198587759,-29.485802948060755,26.778933007123015,0.617,lower,0.71192,False
sens_monthly,MIROC6,500004,mNSE,0.12088220713274847,-0.22677013321628475,0.39939838928448607,0.418,higher,0.62182,False
sens_monthly,MIROC6,500005,mRMSE,-27.453057861855406,-34.99862183798686,-19.532981144033332,0.0,lower,0.0,True
sens_monthly,MIROC6,500005,mPBIAS_abs,-16.524736852294946,-24.831180513879378,5.7969797090202295,0.114,lower,0.22304,False
sens_monthly,MIROC6,500005,mNSE,0.6859406966348951,0.44520200364067514,1.0447216571801987,0.0,higher,0.0,True
sens_monthly,MIROC6,500006,mRMSE,-29.37479661943163,-37.62560020716232,-20.08971232271338,0.0,lower,0.0,True
sens_monthly,MIROC6,500006,mPBIAS_abs,-6.947114473833804,-21.669321902342404,13.201983718908009,0.548,lower,0.68748,False
sens_monthly,MIROC6,500006,mNSE,0.7891054442221161,0.5391755584161574,1.105533748728268,0.0,higher,0.0,True
sens_monthly,MIROC6,500007,mRMSE,-24.812972074686254,-36.89165246109282,-12.8059683308737,0.0,lower,0.0,True
sens_monthly,MIROC6,500007,mPBIAS_abs,-15.506321277010718,-26.26070307718484,9.592623538091344,0.187,lower,0.3402,False
sens_monthly,MIROC6,500007,mNSE,0.8875143811975982,0.45475481621729374,1.408720197707137,0.0,higher,0.0,True
sens_monthly,MIROC6,500008,mRMSE,-50.8258378821675,-60.551746551097516,-40.492014094464196,0.0,lower,0.0,True
sens_monthly,MIROC6,500008,mPBIAS_abs,-10.328907480449208,-20.515372229472536,7.343424748275352,0.26,lower,0.45437,False
sens_monthly,MIROC6,500008,mNSE,1.4521857532091917,0.9847198632534061,1.9899726721686448,0.0,higher,0.0,True
sens_monthly,MIROC6,500009,mRMSE,-48.480349883485616,-59.1916509603161,-37.462806359203825,0.0,lower,0.0,True
sens_monthly,MIROC6,500009,mPBIAS_abs,-11.09900621526142,-25.08650949453025,9.471166070537718,0.31,lower,0.51193,False
sens_monthly,MIROC6,500009,mNSE,1.4220197924234161,0.9465706423369771,1.9769362065974008,0.0,higher,0.0,True
sens_monthly,MIROC6,500201,mRMSE,16.895091725767255,-15.50481249096665,62.562113949724555,0.527,lower,0.6817,False
sens_monthly,MIROC6,500201,mPBIAS_abs,-5.731331393566246,-27.979738548455554,26.460349383733103,0.666,lower,0.73546,False
sens_monthly,MIROC6,500201,mNSE,-0.5633222069344058,-2.3566793923651255,0.4428079726657923,0.527,higher,0.6817,False
sens_monthly,MIROC6,500202,mRMSE,-5.898680516127632,-32.2583839454133,26.505265300283956,0.644,lower,0.73012,False
sens_monthly,MIROC6,500202,mPBIAS_abs,-34.73186112302138,-57.35733661582687,6.818219285506941,0.102,lower,0.20629,False
sens_monthly,MIROC6,500202,mNSE,0.1268224468412258,-1.1346152369789708,1.0264127401798693,0.644,higher,0.73012,False
sens_monthly,MIROC6,500301,mRMSE,-7.188070479857694,-30.112946546829818,20.96679847113289,0.585,lower,0.68748,False
