source_type,season_type,metric,phase,response_absolute,response_pct,ci_low_absolute,ci_high_absolute,ci_low_pct,ci_high_pct,permutation_p_pct,valid_bootstrap_repetitions,n_groups,n_phase_min,n_phase_median,n_neutral_min,n_neutral_median,resampling_unit,bootstrap_repetitions,permutation_repetitions,permutation_p_bh_primary
RAW,RAINY,Rx5day,EL_NINO,-1.6803733333333355,-2.0170117951369795,-12.047693916666677,33.579719090909066,-13.445003325024915,30.237988387058078,0.8228,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.8888089887640449
RAW,RAINY,Rx5day,LA_NINA,18.631261904761928,16.329712175449018,6.230883854166663,39.276796547619064,5.771257970558246,35.60368182000696,0.0644,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.20700000000000002
RAW,RAINY,CWD,EL_NINO,-2.1499999999999986,-7.227043822993672,-8.50083333333333,3.3503846153846104,-25.62795855669456,11.832142478492665,0.4542,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.6412235294117647
RAW,RAINY,CWD,LA_NINA,1.6535714285714294,7.059288537549407,-5.975000000000001,6.707410714285712,-14.97367820033684,24.57301914579271,0.506,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.6683178082191781
RAW,RAINY,R10mm,EL_NINO,-6.966666666666665,-19.73559962228517,-11.583333333333334,-1.2997115384615399,-31.653052829523418,-4.230423042304224,0.0412,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.17978181818181818
RAW,RAINY,R10mm,LA_NINA,6.401785714285715,18.42455168575354,1.6829166666666704,11.75447916666666,4.636548404216024,41.21491594968785,0.065,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.20700000000000002
RAW,RAINY,R20mm,EL_NINO,-1.6538461538461546,-14.369501466275656,-3.2727272727272734,0.12520833333332987,-33.933933933933936,4.036565599111247,0.3296,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.502247619047619
RAW,RAINY,R20mm,LA_NINA,2.875,38.53767560664112,0.7129464285714289,5.475148809523808,6.996220373687673,82.9205765639589,0.0314,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.1647157894736842
RAW,HOT_DRY,PRCPTOT,EL_NINO,-58.46836111111108,-30.19047825983007,-95.00671904040404,-20.784985625000044,-43.867918045486725,-11.308080389096235,0.0154,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.11135999999999999
RAW,HOT_DRY,PRCPTOT,LA_NINA,44.37499999999997,27.106660618857152,10.199070833333321,75.1487472222222,3.2879031444083235,45.20509236890995,0.0278,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.15698823529411765
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,-6.306155477426195,-23.3313280039155,-9.254242304656671,-3.3146380936436257,-30.363573568839126,-10.325759001106633,0.0016,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.030720000000000004
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,4.953959484346232,10.09289093727056,2.7163136893799877,8.321964465092913,5.178411336964615,20.972675120772955,0.0916,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.23766486486486485
RAW,HOT_DRY,Rx1day,EL_NINO,-2.1502222222222223,-6.743134368348027,-9.752435335497836,1.3123324999999995,-42.77719213802215,11.464529376834227,0.6222,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.722742857142857
RAW,HOT_DRY,Rx1day,LA_NINA,5.0216666666666665,42.779207399186554,0.8281817727272738,8.203135625,4.68596476122049,64.58558242586672,0.0084,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.08639999999999999
RAW,HOT_DRY,CDD,EL_NINO,5.114285714285714,9.198355601233299,-3.8365909090909085,8.944444444444443,-11.227862276415902,37.84380912123845,0.276,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.45682758620689656
RAW,HOT_DRY,CDD,LA_NINA,-5.091666666666666,-13.795357960117686,-7.966666666666667,-0.10383522727273159,-30.0487482822545,-0.3750066812764195,0.119,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.28559999999999997
RAW,HOT_DRY,Rx5day,EL_NINO,-11.617388888888886,-15.65813941113693,-32.12945540404039,1.9747168749999988,-46.50751419858474,9.78608487993031,0.2988,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.46389677419354836
RAW,HOT_DRY,Rx5day,LA_NINA,13.733541666666671,27.830733958135333,-3.227737430555557,22.809526249999994,-3.082936623663688,67.45443265245105,0.069,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.20700000000000002
RAW,HOT_DRY,CWD,EL_NINO,-3.7142857142857135,-26.530612244897952,-6.986071428571427,-0.5998989898989919,-41.88398564864308,-3.6036212810082233,0.0326,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.1647157894736842
RAW,HOT_DRY,CWD,LA_NINA,2.145833333333333,20.66596194503171,-1.0000000000000009,4.666874999999997,-4.729784705054492,43.89437467899331,0.0884,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.23573333333333332
RAW,HOT_DRY,R10mm,EL_NINO,-1.4444444444444446,-35.79545454545455,-3.2628787878787873,0.3,-66.79035268998905,16.072420634920622,0.1548,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.3377454545454545
RAW,HOT_DRY,R10mm,LA_NINA,1.125,30.219329110954728,-1.1499999999999995,2.0625,-17.07353115251781,136.32294712475604,0.2416,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.4217018181818182
RAW,HOT_DRY,R20mm,EL_NINO,-0.2777777777777778,-27.976190476190478,-0.7,0.15000000000000002,-79.7097607253857,27.978670634920594,0.3938,5000,5,6,10.0,5,9.0,management-season climate year,5000,4999,0.5642507462686567
