Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
1981-2014,Observed,Historical,465002,1984,OK,Rx5day,157.5,mm
1981-2014,Observed,Historical,465002,1984,OK,SDII,6.032307692307692,mm day-1
1981-2014,Observed,Historical,465002,1985,OK,CDD,22.0,days
1981-2014,Observed,Historical,465002,1985,OK,CWD,122.0,days
1981-2014,Observed,Historical,465002,1985,OK,PRCPTOT,1567.3000000000002,mm
1981-2014,Observed,Historical,465002,1985,OK,R10mm,41.0,days
1981-2014,Observed,Historical,465002,1985,OK,R20mm,3.0,days
1981-2014,Observed,Historical,465002,1985,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1985,OK,R95p,158.0,mm
1981-2014,Observed,Historical,465002,1985,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465002,1985,OK,Rx1day,24.4,mm
1981-2014,Observed,Historical,465002,1985,OK,Rx5day,79.0,mm
1981-2014,Observed,Historical,465002,1985,OK,SDII,5.84813432835821,mm day-1
1981-2014,Observed,Historical,465002,1986,OK,CDD,56.0,days
1981-2014,Observed,Historical,465002,1986,OK,CWD,98.0,days
1981-2014,Observed,Historical,465002,1986,OK,PRCPTOT,1608.2999999999997,mm
1981-2014,Observed,Historical,465002,1986,OK,R10mm,45.0,days
1981-2014,Observed,Historical,465002,1986,OK,R20mm,10.0,days
1981-2014,Observed,Historical,465002,1986,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1986,OK,R95p,351.20000000000005,mm
1981-2014,Observed,Historical,465002,1986,OK,R99p,82.0,mm
1981-2014,Observed,Historical,465002,1986,OK,Rx1day,44.8,mm
1981-2014,Observed,Historical,465002,1986,OK,Rx5day,118.60000000000001,mm
1981-2014,Observed,Historical,465002,1986,OK,SDII,6.564489795918366,mm day-1
1981-2014,Observed,Historical,465002,1987,OK,CDD,30.0,days
1981-2014,Observed,Historical,465002,1987,OK,CWD,47.0,days
1981-2014,Observed,Historical,465002,1987,OK,PRCPTOT,1487.8000000000002,mm
1981-2014,Observed,Historical,465002,1987,OK,R10mm,38.0,days
1981-2014,Observed,Historical,465002,1987,OK,R20mm,7.0,days
1981-2014,Observed,Historical,465002,1987,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1987,OK,R95p,253.4,mm
1981-2014,Observed,Historical,465002,1987,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465002,1987,OK,Rx1day,33.0,mm
1981-2014,Observed,Historical,465002,1987,OK,Rx5day,94.7,mm
1981-2014,Observed,Historical,465002,1987,OK,SDII,5.834509803921569,mm day-1
1981-2014,Observed,Historical,465002,1988,OK,CDD,14.0,days
1981-2014,Observed,Historical,465002,1988,OK,CWD,135.0,days
1981-2014,Observed,Historical,465002,1988,OK,PRCPTOT,1913.5,mm
1981-2014,Observed,Historical,465002,1988,OK,R10mm,48.0,days
1981-2014,Observed,Historical,465002,1988,OK,R20mm,9.0,days
1981-2014,Observed,Historical,465002,1988,OK,R50mm,2.0,days
1981-2014,Observed,Historical,465002,1988,OK,R95p,431.8,mm
1981-2014,Observed,Historical,465002,1988,OK,R99p,220.8,mm
1981-2014,Observed,Historical,465002,1988,OK,Rx1day,94.1,mm
1981-2014,Observed,Historical,465002,1988,OK,Rx5day,264.0,mm
1981-2014,Observed,Historical,465002,1988,OK,SDII,7.0349264705882355,mm day-1
1981-2014,Observed,Historical,465002,1989,OK,CDD,19.0,days
1981-2014,Observed,Historical,465002,1989,OK,CWD,84.0,days
1981-2014,Observed,Historical,465002,1989,OK,PRCPTOT,1299.1,mm
1981-2014,Observed,Historical,465002,1989,OK,R10mm,33.0,days
1981-2014,Observed,Historical,465002,1989,OK,R20mm,2.0,days
1981-2014,Observed,Historical,465002,1989,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1989,OK,R95p,88.6,mm
1981-2014,Observed,Historical,465002,1989,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465002,1989,OK,Rx1day,32.8,mm
1981-2014,Observed,Historical,465002,1989,OK,Rx5day,71.6,mm
1981-2014,Observed,Historical,465002,1989,OK,SDII,5.412916666666666,mm day-1
1981-2014,Observed,Historical,465002,1990,OK,CDD,18.0,days
1981-2014,Observed,Historical,465002,1990,OK,CWD,49.0,days
1981-2014,Observed,Historical,465002,1990,OK,PRCPTOT,1445.6,mm
1981-2014,Observed,Historical,465002,1990,OK,R10mm,34.0,days
1981-2014,Observed,Historical,465002,1990,OK,R20mm,7.0,days
1981-2014,Observed,Historical,465002,1990,OK,R50mm,1.0,days
1981-2014,Observed,Historical,465002,1990,OK,R95p,291.40000000000003,mm
1981-2014,Observed,Historical,465002,1990,OK,R99p,90.9,mm
1981-2014,Observed,Historical,465002,1990,OK,Rx1day,56.5,mm
1981-2014,Observed,Historical,465002,1990,OK,Rx5day,125.79999999999998,mm
1981-2014,Observed,Historical,465002,1990,OK,SDII,5.829032258064516,mm day-1
1981-2014,Observed,Historical,465002,1991,OK,CDD,23.0,days
1981-2014,Observed,Historical,465002,1991,OK,CWD,65.0,days
1981-2014,Observed,Historical,465002,1991,OK,PRCPTOT,1416.1,mm
1981-2014,Observed,Historical,465002,1991,OK,R10mm,42.0,days
1981-2014,Observed,Historical,465002,1991,OK,R20mm,3.0,days
1981-2014,Observed,Historical,465002,1991,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1991,OK,R95p,171.29999999999998,mm
1981-2014,Observed,Historical,465002,1991,OK,R99p,36.9,mm
1981-2014,Observed,Historical,465002,1991,OK,Rx1day,36.9,mm
1981-2014,Observed,Historical,465002,1991,OK,Rx5day,67.7,mm
1981-2014,Observed,Historical,465002,1991,OK,SDII,5.949999999999999,mm day-1
1981-2014,Observed,Historical,465002,1992,OK,CDD,29.0,days
1981-2014,Observed,Historical,465002,1992,OK,CWD,47.0,days
1981-2014,Observed,Historical,465002,1992,OK,PRCPTOT,1361.3,mm
1981-2014,Observed,Historical,465002,1992,OK,R10mm,28.0,days
1981-2014,Observed,Historical,465002,1992,OK,R20mm,6.0,days
1981-2014,Observed,Historical,465002,1992,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1992,OK,R95p,172.2,mm
1981-2014,Observed,Historical,465002,1992,OK,R99p,77.6,mm
1981-2014,Observed,Historical,465002,1992,OK,Rx1day,41.9,mm
1981-2014,Observed,Historical,465002,1992,OK,Rx5day,73.5,mm
1981-2014,Observed,Historical,465002,1992,OK,SDII,5.918695652173913,mm day-1
1981-2014,Observed,Historical,465002,1993,OK,CDD,30.0,days
1981-2014,Observed,Historical,465002,1993,OK,CWD,138.0,days
1981-2014,Observed,Historical,465002,1993,OK,PRCPTOT,1651.4999999999998,mm
1981-2014,Observed,Historical,465002,1993,OK,R10mm,35.0,days
1981-2014,Observed,Historical,465002,1993,OK,R20mm,8.0,days
1981-2014,Observed,Historical,465002,1993,OK,R50mm,1.0,days
1981-2014,Observed,Historical,465002,1993,OK,R95p,348.09999999999997,mm
1981-2014,Observed,Historical,465002,1993,OK,R99p,201.1,mm
1981-2014,Observed,Historical,465002,1993,OK,Rx1day,75.1,mm
1981-2014,Observed,Historical,465002,1993,OK,Rx5day,129.79999999999998,mm
1981-2014,Observed,Historical,465002,1993,OK,SDII,6.401162790697674,mm day-1
1981-2014,Observed,Historical,465002,1994,OK,CDD,21.0,days
1981-2014,Observed,Historical,465002,1994,OK,CWD,90.0,days
1981-2014,Observed,Historical,465002,1994,OK,PRCPTOT,1635.8000000000002,mm
1981-2014,Observed,Historical,465002,1994,OK,R10mm,42.0,days
1981-2014,Observed,Historical,465002,1994,OK,R20mm,5.0,days
1981-2014,Observed,Historical,465002,1994,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1994,OK,R95p,269.20000000000005,mm
1981-2014,Observed,Historical,465002,1994,OK,R99p,38.5,mm
1981-2014,Observed,Historical,465002,1994,OK,Rx1day,38.5,mm
1981-2014,Observed,Historical,465002,1994,OK,Rx5day,77.9,mm
1981-2014,Observed,Historical,465002,1994,OK,SDII,6.149624060150376,mm day-1
1981-2014,Observed,Historical,465002,1995,OK,CDD,18.0,days
1981-2014,Observed,Historical,465002,1995,OK,CWD,132.0,days
1981-2014,Observed,Historical,465002,1995,OK,PRCPTOT,1721.1000000000001,mm
1981-2014,Observed,Historical,465002,1995,OK,R10mm,54.0,days
1981-2014,Observed,Historical,465002,1995,OK,R20mm,7.0,days
1981-2014,Observed,Historical,465002,1995,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1995,OK,R95p,307.9,mm
1981-2014,Observed,Historical,465002,1995,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465002,1995,OK,Rx1day,29.8,mm
1981-2014,Observed,Historical,465002,1995,OK,Rx5day,108.2,mm
1981-2014,Observed,Historical,465002,1995,OK,SDII,6.749411764705883,mm day-1
1981-2014,Observed,Historical,465002,1996,OK,CDD,25.0,days
1981-2014,Observed,Historical,465002,1996,OK,CWD,98.0,days
1981-2014,Observed,Historical,465002,1996,OK,PRCPTOT,1800.9,mm
1981-2014,Observed,Historical,465002,1996,OK,R10mm,51.0,days
1981-2014,Observed,Historical,465002,1996,OK,R20mm,6.0,days
1981-2014,Observed,Historical,465002,1996,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1996,OK,R95p,237.39999999999998,mm
1981-2014,Observed,Historical,465002,1996,OK,R99p,79.30000000000001,mm
1981-2014,Observed,Historical,465002,1996,OK,Rx1day,45.2,mm
1981-2014,Observed,Historical,465002,1996,OK,Rx5day,125.2,mm
1981-2014,Observed,Historical,465002,1996,OK,SDII,6.548727272727273,mm day-1
1981-2014,Observed,Historical,465002,1997,OK,CDD,33.0,days
1981-2014,Observed,Historical,465002,1997,OK,CWD,80.0,days
1981-2014,Observed,Historical,465002,1997,OK,PRCPTOT,1356.9,mm
1981-2014,Observed,Historical,465002,1997,OK,R10mm,29.0,days
1981-2014,Observed,Historical,465002,1997,OK,R20mm,3.0,days
1981-2014,Observed,Historical,465002,1997,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1997,OK,R95p,168.39999999999998,mm
1981-2014,Observed,Historical,465002,1997,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465002,1997,OK,Rx1day,28.5,mm
1981-2014,Observed,Historical,465002,1997,OK,Rx5day,87.8,mm
1981-2014,Observed,Historical,465002,1997,OK,SDII,5.300390625,mm day-1
