model,season_type,ENSO_phase,station,index,R_RAW_pct,R_QDM_pct,PE_ENSO_pct
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,R50mm,0.0,87.5,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,R95p,0.0,-27.07,0.0
CanESM5,HOT_DRY,EL_NINO,351003,R95p,0.0,56.16,0.0
CESM2,HOT_DRY,EL_NINO,351003,R95p,0.0,1089.68,0.0
EC-Earth3,HOT_DRY,EL_NINO,351003,R95p,0.0,70.97,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351003,R95p,-4.92,105.18,-2237.8
MIROC6,HOT_DRY,EL_NINO,351003,R95p,0.0,65.93,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,R95p,0.0,72.62,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,R99p,0.0,-34.0,0.0
CanESM5,HOT_DRY,EL_NINO,351003,R99p,0.0,-33.21,0.0
CESM2,HOT_DRY,EL_NINO,351003,R99p,0.0,0.0,0.0
EC-Earth3,HOT_DRY,EL_NINO,351003,R99p,0.0,60.58,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351003,R99p,0.0,79.48,0.0
MIROC6,HOT_DRY,EL_NINO,351003,R99p,0.0,40.84,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,R99p,0.0,0.63,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,Rx1day,-23.07,1.34,-105.81
CanESM5,HOT_DRY,EL_NINO,351003,Rx1day,-26.75,46.16,-272.56
CESM2,HOT_DRY,EL_NINO,351003,Rx1day,33.54,243.09,624.78
EC-Earth3,HOT_DRY,EL_NINO,351003,Rx1day,23.27,1.58,-93.21
FGOALS-g3,HOT_DRY,EL_NINO,351003,Rx1day,-9.9,66.22,-768.89
MIROC6,HOT_DRY,EL_NINO,351003,Rx1day,62.84,9.0,-85.68
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,Rx1day,-24.18,32.86,-235.9
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,Rx5day,-18.92,-44.47,135.04
CanESM5,HOT_DRY,EL_NINO,351003,Rx5day,-31.47,89.49,-384.37
CESM2,HOT_DRY,EL_NINO,351003,Rx5day,43.34,218.21,403.48
EC-Earth3,HOT_DRY,EL_NINO,351003,Rx5day,2.1,0.4,-80.95
FGOALS-g3,HOT_DRY,EL_NINO,351003,Rx5day,-11.92,62.53,-624.58
MIROC6,HOT_DRY,EL_NINO,351003,Rx5day,73.05,2.85,-96.1
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,Rx5day,-27.27,10.25,-137.59
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,SDII,-9.06,-2.32,-74.39
CanESM5,HOT_DRY,EL_NINO,351003,SDII,-25.39,29.34,-215.56
CESM2,HOT_DRY,EL_NINO,351003,SDII,15.24,80.63,429.07
EC-Earth3,HOT_DRY,EL_NINO,351003,SDII,6.55,25.53,289.77
FGOALS-g3,HOT_DRY,EL_NINO,351003,SDII,-25.56,42.84,-267.61
MIROC6,HOT_DRY,EL_NINO,351003,SDII,35.45,0.61,-98.28
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,SDII,-15.35,49.22,-420.65
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,wet_day_freq,-14.41,-39.22,172.17
CanESM5,HOT_DRY,EL_NINO,351003,wet_day_freq,0.51,25.0,4801.96
CESM2,HOT_DRY,EL_NINO,351003,wet_day_freq,10.69,92.76,767.73
EC-Earth3,HOT_DRY,EL_NINO,351003,wet_day_freq,4.22,33.94,704.27
FGOALS-g3,HOT_DRY,EL_NINO,351003,wet_day_freq,14.33,6.41,-55.27
MIROC6,HOT_DRY,EL_NINO,351003,wet_day_freq,13.5,16.7,23.7
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,wet_day_freq,8.72,-9.59,-209.98
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,CDD,-20.99,-19.97,-4.86
CanESM5,HOT_DRY,EL_NINO,351004,CDD,-4.17,20.89,-600.96
CESM2,HOT_DRY,EL_NINO,351004,CDD,-20.0,-34.0,70.0
EC-Earth3,HOT_DRY,EL_NINO,351004,CDD,-15.41,-40.3,161.52
FGOALS-g3,HOT_DRY,EL_NINO,351004,CDD,12.4,7.08,-42.9
MIROC6,HOT_DRY,EL_NINO,351004,CDD,13.39,-5.3,-139.58
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,CDD,1.29,-16.36,-1368.22
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,CWD,-34.21,-56.25,64.43
CanESM5,HOT_DRY,EL_NINO,351004,CWD,-26.55,96.43,-463.2
CESM2,HOT_DRY,EL_NINO,351004,CWD,21.39,66.67,211.69
EC-Earth3,HOT_DRY,EL_NINO,351004,CWD,-18.48,47.73,-358.28
FGOALS-g3,HOT_DRY,EL_NINO,351004,CWD,16.07,66.67,314.87
MIROC6,HOT_DRY,EL_NINO,351004,CWD,57.41,42.86,-25.34
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,CWD,15.91,0.0,-100.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,PRCPTOT,-22.57,-44.01,94.99
CanESM5,HOT_DRY,EL_NINO,351004,PRCPTOT,-22.41,72.82,-424.94
CESM2,HOT_DRY,EL_NINO,351004,PRCPTOT,27.57,409.57,1385.56
EC-Earth3,HOT_DRY,EL_NINO,351004,PRCPTOT,9.91,134.36,1255.8
FGOALS-g3,HOT_DRY,EL_NINO,351004,PRCPTOT,-3.19,35.51,-1213.17
MIROC6,HOT_DRY,EL_NINO,351004,PRCPTOT,81.63,-0.39,-100.48
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,PRCPTOT,-7.01,35.5,-606.42
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,R20mm,0.0,-58.33,0.0
