model,scenario,window,index,delta_abs_Bias-corrected,delta_abs_Raw,delta_pct_Bias-corrected,delta_pct_Raw,sign_preserved,abs_pct_difference
CESM2,ssp585,Near-term,Rx5day,4.109192307692297,2.427550692307676,2.3006131006111996,2.092911387687153,True,0.2077017129240466
CESM2,ssp585,Near-term,SDII,-0.6117184403083868,-0.13467473391183482,-4.917492535300831,-3.1402631397789658,True,1.7772293955218657
CanESM5,ssp245,Long-term,CDD,-2.0269230769230617,-1.5999999999999943,-3.153800119688786,-7.390300230946856,True,4.236500111258071
CanESM5,ssp245,Long-term,CWD,-0.10769230769230909,4.5499999999999865,-1.1254019292604647,18.87966804979247,False,20.005069979052937
CanESM5,ssp245,Long-term,PRCPTOT,46.68188461538443,60.50322000000028,5.041576749203999,4.507055494357656,True,0.5345212548463429
CanESM5,ssp245,Long-term,R10mm,0.953846153846154,4.299999999999983,3.217019068621093,9.277238403451957,True,6.0602193348308635
CanESM5,ssp245,Long-term,R20mm,0.39615384615384563,0.9499999999999984,3.1099033816425083,18.44660194174754,True,15.336698560105033
CanESM5,ssp245,Long-term,R50mm,0.3038461538461539,-0.25,18.07780320366133,-45.45454545454546,False,63.532348658206786
CanESM5,ssp245,Long-term,R95p,24.48061538461542,1.227142307692361,8.201954126240285,0.81853133788985,True,7.383422788350435
CanESM5,ssp245,Long-term,R99p,28.662230769230774,-14.925280769230774,24.720802988716684,-25.734398023041233,False,50.45520101175792
CanESM5,ssp245,Long-term,Rx1day,8.092076923076917,-4.150350000000003,12.025379761920401,-8.445816010695783,False,20.471195772616184
