year,mme_mean,mme_median,q25,q75,mme_min,mme_max,mme_std,scenario,scale
2096,1272.8490816326532,1415.6385714285714,1019.8457142857142,1498.687142857143,741.7557142857142,1715.4835714285712,362.26554055826483,ssp245,wet
2097,1075.411836734694,1118.337857142857,960.8660714285713,1190.9889285714285,700.8185714285713,1405.0164285714286,237.36232375543756,ssp245,wet
2098,975.1260204081633,1000.6864285714285,830.1178571428572,1096.3335714285713,599.9492857142857,1372.3435714285715,261.42201260470677,ssp245,wet
2099,938.1644897959184,943.0000000000001,703.5496428571428,1164.1407142857142,644.0435714285713,1244.7271428571428,256.829162330236,ssp245,wet
2100,1142.2082653061225,1114.7542857142855,940.1610714285716,1231.2592857142859,603.7607142857141,1934.1021428571432,411.4977957712965,ssp245,wet
1981,151.91214285714287,155.20499999999998,143.02714285714285,171.5667857142857,87.42857142857143,191.5635714285714,34.84019926556025,ssp245,dry
1982,159.30938775510205,150.19785714285712,88.85607142857143,211.25035714285713,60.387142857142855,304.36785714285713,88.17513289157569,ssp245,dry
1983,160.06244897959184,188.12999999999997,110.30964285714285,211.8207142857143,45.75857142857142,242.28785714285712,73.13938505507281,ssp245,dry
1984,147.47561224489797,146.47214285714287,105.3107142857143,182.53214285714284,65.485,244.6864285714286,61.05398393073447,ssp245,dry
1985,198.91887755102042,169.2328571428571,143.97392857142856,268.87142857142857,105.24214285714287,292.26642857142855,77.15190504022729,ssp245,dry
1986,193.01795918367347,223.5292857142857,104.35785714285714,290.8228571428571,35.017857142857146,302.2171428571429,112.22434005033288,ssp245,dry
1987,248.47602040816327,280.0271428571429,180.2475,309.87821428571425,110.49571428571429,368.5578571428572,94.7921170468695,ssp245,dry
1988,162.51887755102038,140.71642857142857,124.95535714285712,171.25714285714284,107.82714285714287,296.66357142857134,64.4111374216858,ssp245,dry
1989,180.50357142857143,170.41285714285712,123.22964285714286,239.8932142857143,106.51071428571427,260.35571428571427,66.2193682515369,ssp245,dry
1990,149.19091836734694,137.83499999999998,95.08642857142857,179.76785714285714,49.911428571428566,306.8814285714285,84.84997188687282,ssp245,dry
