source_type,season_type,metric,model,grid_signature,phase,n_phase,n_neutral,phase_mean,neutral_mean,response_absolute,response_pct,eligible
RAW,HOT_DRY,PRCPTOT,CESM2,grid_75b745206e31761f,EL_NINO,14,5,273.7944285714286,216.28119999999998,57.51322857142864,26.591876025946153,True
RAW,HOT_DRY,PRCPTOT,CESM2,grid_a881af875d124648,EL_NINO,14,5,380.52542857142856,354.5218,26.003628571428578,7.334846142445565,True
RAW,HOT_DRY,PRCPTOT,CanESM5,grid_a0c557522bffc319,EL_NINO,6,9,301.96049999999997,325.3043333333333,-23.34383333333335,-7.175998270337628,True
RAW,HOT_DRY,PRCPTOT,EC-Earth3,grid_9303f05137547d56,EL_NINO,9,11,145.58208888888888,213.3948818181818,-67.81279292929293,-31.778078439140476,True
RAW,HOT_DRY,PRCPTOT,EC-Earth3,grid_9da29437bf4e821a,EL_NINO,9,11,121.4453777777778,189.46543636363637,-68.02005858585858,-35.90103814782837,True
RAW,HOT_DRY,PRCPTOT,EC-Earth3,grid_a66ff45ee66c4de6,EL_NINO,9,11,149.69621111111113,238.69472727272725,-88.99851616161612,-37.285497328949546,True
RAW,HOT_DRY,PRCPTOT,EC-Earth3,grid_dc4d6a079af8a48b,EL_NINO,9,11,58.28978888888889,109.80968181818183,-51.519892929292936,-46.91744122762997,True
RAW,HOT_DRY,PRCPTOT,EC-Earth3,grid_e28e705640008453,EL_NINO,9,11,150.62914444444448,250.39037272727273,-99.76122828282826,-39.842277958301935,True
RAW,HOT_DRY,PRCPTOT,FGOALS-g3,grid_55d8abe4f8a2fad6,EL_NINO,13,6,80.06617692307692,111.65128333333332,-31.5851064102564,-28.28906705528813,True
RAW,HOT_DRY,PRCPTOT,FGOALS-g3,grid_bec124c723ff4cc0,EL_NINO,13,6,86.34865384615385,108.37348333333334,-22.02482948717949,-20.32307978828722,True
RAW,HOT_DRY,PRCPTOT,MIROC6,grid_646dc39f1698cf7c,EL_NINO,11,5,226.226909090909,259.51460000000003,-33.287690909091026,-12.826904886696557,True
RAW,HOT_DRY,PRCPTOT,MIROC6,grid_e76c7caef96c7398,EL_NINO,11,5,234.916,278.3652,-43.44920000000002,-15.608703961558419,True
RAW,HOT_DRY,PRCPTOT,MRI-ESM2-0,grid_6cf183365c07226e,EL_NINO,12,4,197.95691666666667,201.49974999999998,-3.5428333333333057,-1.75823212353033,True
RAW,HOT_DRY,PRCPTOT,MRI-ESM2-0,grid_734a0a607f8697f4,EL_NINO,12,4,256.7335833333333,282.62225,-25.888666666666722,-9.160165792561173,True
RAW,HOT_DRY,PRCPTOT,MRI-ESM2-0,grid_f7737890dbe1030c,EL_NINO,12,4,203.80650000000003,176.0745,27.732000000000028,15.750151214400736,True
